seller_id,seller_short_code,seller_name,shop_url
1003585,BD1NE8V,RS-TELECOM,https://www.daraz.com.bd/shop/rs-telecom-1541948401
1003587,BD1NE8X,SS Global,https://www.daraz.com.bd/shop/ss-global
1003588,BD1NE8Y,Amani Mart,https://www.daraz.com.bd/shop/amani-mart
1003590,BD1NE90,Smiley CTG,https://www.daraz.com.bd/shop/smiley-ctg
1003596,BD1NE96,NB ELECTRONICS,https://www.daraz.com.bd/shop/nb-electronics-1541931441
1003598,BD1NE98,Fruits & Foods,https://www.daraz.com.bd/shop/fruits-foods
1003599,BD1NE99,Big Tree CTG,https://www.daraz.com.bd/shop/big-tree-ctg
1003602,BD1NE9C,SAIFAN TELECOM,https://www.daraz.com.bd/shop/saifan-telecom
1003603,BD1NE9D,P.C HOUSE,https://www.daraz.com.bd/shop/pc-house-1541948401
1003606,BD1NE9G,Next Shop,https://www.daraz.com.bd/shop/next-shop
1003611,BD1NE9L,Star International.,https://www.daraz.com.bd/shop/star-international-1541948400
1003613,BD1NE9N,KineNibo,https://www.daraz.com.bd/shop/kinenibo
1003618,BD1NE9T,Shwapner Haat,https://www.daraz.com.bd/shop/shwapner-haat
1003620,BD1NE9V,QDC Concern,https://www.daraz.com.bd/shop/qdc-concern
1003621,BD1NE9W,ASF InternationalCTG,https://www.daraz.com.bd/shop/asf-internationalctg
1003627,BD1NEA2,Best,https://www.daraz.com.bd/shop/best
1003628,BD1NEA3,Banasree Furniture,https://www.daraz.com.bd/shop/banasree-furniture
1003636,BD1NEAB,Leading Shop,https://www.daraz.com.bd/shop/leading-shop
1003639,BD1NEAE,Creative shop,https://www.daraz.com.bd/shop/creative-shop
1003671,BD1NEBB,Chess Shop BD,https://www.daraz.com.bd/shop/chess-shop-bd
1003678,BD1NEBI,Rapid Technology,https://www.daraz.com.bd/shop/rapid-technology
1003679,BD1NEBJ,PureBD,https://www.daraz.com.bd/shop/purebd
1003680,BD1NEBK,PADMA,https://www.daraz.com.bd/shop/padma
1003686,BD1NEBR,LEATHERED,https://www.daraz.com.bd/shop/leathered/
1003688,BD1NEBT,S.R Business Point,https://www.daraz.com.bd/shop/sr-business-point/
1003691,BD1NEBW,Km Technology,https://www.daraz.com.bd/shop/km-technology
1003692,BD1NEBX,bd_shop,https://www.daraz.com.bd/shop/bdshop-1542008532
1003694,BD1NEBZ,Style Door,https://www.daraz.com.bd/shop/style-door
1003695,BD1NEC0,Tushar Telecom,https://www.daraz.com.bd/shop/tushar-telecom
1003699,BD1NEC4,Bazar,https://www.daraz.com.bd/shop/bazar
1003700,BD1NEC5,Sharee Ghor,https://www.daraz.com.bd/shop/sharee-ghor
1003701,BD1NEC6,Goriber shop,https://www.daraz.com.bd/shop/goriber-shop
1003702,BD1NEC7,Rubab Perfume World CTG,https://www.daraz.com.bd/shop/rubab-perfume-world-ctg
1003703,BD1NEC8,Mega Casual Park,https://www.daraz.com.bd/shop/mega-casual-park
1003704,BD1NEC9,Bishwo Rang,https://www.daraz.com.bd/shop/bishwo-rang
1003709,BD1NECE,JBA TradersCTG,https://www.daraz.com.bd/shop/jba-tradersctg
1003714,BD1NECJ,Life Style BD_1,https://www.daraz.com.bd/shop/life-style-bd1
1003720,BD1NECP,Gd Health Medi Point,https://www.daraz.com.bd/shop/gd-health-medi-point
1003722,BD1NECS,Skin Care BD,https://www.daraz.com.bd/shop/skin-care-bd
1003731,BD1NED1,Wincom System,https://www.daraz.com.bd/shop/wincom-system
1003736,BD1NED6,Togs,https://www.daraz.com.bd/shop/togs
